Symbol,Description,Volume,RSI,Open,High,Low,52Low,BollingerBands,BollingerBandwidth,BollingerPercentB
TSLA,TESLA INC COM,"112,932,985",48.13,182.955,186.5,180.94,101.81,189.61,70.38,35.44
NVDA,NVIDIA CORP COM,"35,361,528",54.92,267.34,268.869,263.29,108.13,267.96,47.83,37.23
BA,BOEING CO COM,"4,501,594",58.22,213,213.68,211.495,113.02,207.1,38.47,77.38
AWK,AMER WATER WORKS CO INC COM,"972,872",65.15,150.28,152.05,149.12,122.77,145.08,23.5,84.56
AAPL,APPLE INC COM,"68,445,649",63.27,161.63,165.8,161.42,124.17,160.86,19.92,85.38
XLY,SELECT SECTOR SPDR TRUST SBI CONS DISCR ETF,"6,570,029",55.04,144.58,146.84,144.11,126,144.4,19.25,73.9
NFLX,NETFLIX INC COM,"7,406,437",60.54,339.99,346.43,338.75,162.71,328.27,45.43,77.6
AMZN,AMAZON COM INC COM,"67,925,138",56.69,98.95,102.57,98.71,81.43,100.28,45.25,76.48
MSFT,MICROSOFT CORP COM,"24,222,678",63.18,283.59,289.9,283.17,213.431,281.63,20.09,84.46
AVGO,BROADCOM INC COM,"1,726,497",50.01,619.07,626.5,617.11,415.0682,631.25,22.63,26.29
MKC,MCCORMICK & COMPANY INC COM,"1,363,731",77.23,85.8,86.82,85.4,70.6,79.65,29.49,79.16
FCEL,FUELCELL ENERGY INC COM,"7,334,418",30.33,2.35,2.36,2.29,2.29,2.69,55.37,8.81
$DXY,US Dollar/USDX - Index - Cash,<empty>,34.156,101.002,101.009,100.788,<empty>,102.34,8.389,-0.538
VIX,CBOE MARKET VOLATILITY INDEX,<empty>,39.43,18.83,19.06,17.77,17.06,20.4,49.12,18.98
STLD,STEEL DYNAMICS INC COM,"2,005,996",41.15,106.79,106.9199,104.37,62.44,107.8,39.98,28.68
BAC,BANK OF AMERICA CORPORATION COM,"52,261,420",43.95,28.56,28.64,28.24,26.39,28.14,35.93,69.79
