Date,Volume,Close
10/3/22 16:00,2396745,14.53
10/4/22 16:00,2942234,15.91
10/5/22 16:00,4412586,16.03
10/6/22 16:00,2242827,15.14
10/7/22 16:00,2788785,14.09
10/10/22 16:00,3818297,13.65
10/11/22 16:00,2654715,14.11
10/12/22 16:00,2128688,14.2
10/13/22 16:00,3725779,14.78
10/14/22 16:00,3820909,13.35
10/17/22 16:00,3720533,13.43
10/18/22 16:00,3398988,13.56
10/19/22 16:00,2744899,13.55
10/20/22 16:00,2624606,12.9
10/21/22 16:00,3616751,12.63
10/24/22 16:00,2457224,12.46
10/25/22 16:00,3860083,14.22
10/26/22 16:00,2917994,14.8
10/27/22 16:00,1874355,14.49
10/28/22 16:00,2697300,15.52
10/31/22 16:00,2229980,15.7
11/1/22 16:00,2487229,15.32
11/2/22 16:00,1916600,14.75
11/3/22 16:00,1680422,14.36
11/4/22 16:00,1384434,13.91
11/7/22 16:00,1957915,13.3
11/8/22 16:00,2145597,13.02
11/9/22 16:00,4004133,11.82
11/10/22 16:00,6525311,14.2
11/11/22 16:00,3656600,15.22
11/14/22 16:00,3281299,15.54
11/15/22 16:00,3478017,15.78
11/16/22 16:00,2093414,14.49
11/17/22 16:00,2509356,13.94
11/18/22 16:00,1770360,13.45
11/21/22 16:00,2247933,13.28
11/22/22 16:00,3459575,12.72
11/23/22 16:00,2470264,12.83
11/25/22 13:05,628255,12.72
11/28/22 16:00,1571889,12.41
11/29/22 16:00,2479128,12.92
11/30/22 16:00,3563512,14.59
12/1/22 16:00,2897728,14.32
12/2/22 16:00,1483029,14.3
12/5/22 16:00,1355916,13.69
12/6/22 16:00,2679875,13.88
12/7/22 16:00,3784278,15.6
12/8/22 16:00,4394061,16.15
12/9/22 16:00,2244979,14.87
12/12/22 16:00,1675659,14.68
12/13/22 16:00,2127334,14.52
12/14/22 16:00,1988231,14.62
12/15/22 16:00,2163262,13.78
12/16/22 16:00,2122225,14.13
12/19/22 16:00,1396924,13.32
12/20/22 16:00,1261732,13.18
12/21/22 16:00,1420585,13.26
12/22/22 16:00,1405762,12.92
12/23/22 16:00,1437801,12.79
12/27/22 16:00,1360075,11.83
12/28/22 16:00,1811076,11.34
12/29/22 16:00,3105054,12.4
12/30/22 16:00,1771911,12.31
1/3/23 16:00,1474964,12.38
1/4/23 16:00,1839339,12.87
1/5/23 16:00,2017015,13
1/6/23 16:00,2170823,13.79
1/9/23 16:00,1916424,14.04
1/10/23 16:00,2174860,14.61
1/11/23 16:00,3307606,15.92
1/12/23 16:00,2781675,16.52
1/13/23 16:00,3523056,15.93
1/17/23 16:00,1553225,15.71
1/18/23 16:00,2166525,14.58
1/19/23 16:00,1592153,14.26
1/20/23 16:00,2047362,15.12
1/23/23 16:00,3467592,16.83
1/24/23 16:00,2114738,15.98
1/25/23 16:00,1422181,16.13
1/26/23 16:00,1409751,16.19
1/27/23 16:00,7002062,18.51
1/30/23 16:00,4362480,16.45
1/31/23 16:00,2544924,16.43
2/1/23 16:00,2868127,16.97
2/2/23 16:00,9211041,20.22
2/3/23 16:00,2902400,19.42
2/6/23 16:00,3830354,17.99
2/7/23 16:00,3068425,17.19
2/8/23 16:00,3697834,17.68
2/9/23 16:00,2774499,16.25
2/10/23 16:00,2478938,15.99
2/13/23 16:00,1717422,16.16
2/14/23 16:00,1653985,15.52
2/15/23 16:00,2901568,17.43
2/16/23 16:00,3191037,17.1
2/17/23 16:00,2452558,17.74
2/21/23 16:00,1902666,16.4
2/22/23 16:00,1388100,17.1
2/23/23 16:00,3940559,17.14
2/24/23 16:00,25691730,18.88
2/27/23 16:00,4778407,18.77
2/28/23 16:00,3007503,17.84
3/1/23 16:00,2332608,16.94
3/2/23 16:00,1684832,17.68
3/3/23 16:00,2218171,18.71
3/6/23 16:00,2644137,18.08
3/7/23 16:00,1573692,18.06
3/8/23 16:00,1591242,18.18
3/9/23 16:00,1630110,17.36
3/10/23 16:00,2279250,17.27
3/13/23 16:00,2609178,17.6
3/14/23 16:00,1975624,17.8
3/15/23 16:00,2484361,17.05
3/16/23 16:00,1914566,16.85
3/17/23 16:00,4413241,15.54
3/20/23 16:00,1921615,15.17
3/21/23 16:00,1658231,15.58
3/22/23 16:00,1552985,15.06
3/23/23 16:00,1511923,15.29
3/24/23 16:00,2382671,16.27
3/27/23 16:00,1930280,15.92
3/28/23 16:00,1026272,15.68
3/29/23 16:00,1187857,15.75
3/30/23 16:00,1248872,15.89
3/31/23 16:00,1407650,16.23
4/3/23 16:00,1242544,16.34
4/4/23 16:00,1356888,16.37
4/5/23 16:00,1058753,15.97
4/6/23 16:00,1661195,15.33
4/10/23 16:00,1486428,15.21
4/11/23 16:00,1060992,15.08
4/12/23 16:00,1391867,14.68
4/13/23 16:00,1157245,14.83
4/14/23 16:00,1143871,14.82
